District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
medchal malkajgiri,2020,4,TOTAL,49900746,81801106073.41168
visakhapatnam,2020,4,TOTAL,46551467,91879823025.40399
bhopal,2020,4,TOTAL,38492334,67905952477.88091
central delhi,2020,4,TOTAL,32194168,61575435521.28284
mumbai suburban,2020,4,TOTAL,31947471,52567087497.07483
bengaluru urban,2021,1,TOTAL,348712787,432401341231.7671
pune,2021,1,TOTAL,208930588,253623629237.65796
hyderabad,2021,1,TOTAL,169703372,316572388133.7874
jaipur,2021,1,TOTAL,125917532,223771205713.25284
bhopal,2021,1,TOTAL,67309234,101725720745.41443
rangareddy,2021,1,TOTAL,60675056,98883148961.30931
medchal malkajgiri,2021,1,TOTAL,54854446,87516738646.29623
central delhi,2021,1,TOTAL,54173342,90711721159.77658
mumbai suburban,2021,1,TOTAL,49079788,75911506798.24135
visakhapatnam,2021,1,TOTAL,48248923,95308386037.8472
bengaluru urban,2021,2,TOTAL,326804307,444422398357.67755
pune,2021,2,TOTAL,218732925,298657497266.993
hyderabad,2021,2,TOTAL,212326623,424872741465.13696
jaipur,2021,2,TOTAL,137247139,248390977964.5579
bhopal,2021,2,TOTAL,74643630,127038866031.39793
rangareddy,2021,2,TOTAL,63155281,113987187628.93881
central delhi,2021,2,TOTAL,62131856,100895875737.76093
medchal malkajgiri,2021,2,TOTAL,58755991,102864360004.68025
visakhapatnam,2021,2,TOTAL,54390299,114439012713.35336
patna,2021,2,TOTAL,53400850,114936398151.99364
bengaluru urban,2021,3,TOTAL,476485560,626123198813.8513
pune,2021,3,TOTAL,303322956,372243656247.4718
hyderabad,2021,3,TOTAL,262028284,479343321365.3726
jaipur,2021,3,TOTAL,193839196,313664435689.29987
bhopal,2021,3,TOTAL,103403998,146735124186.2163
central delhi,2021,3,TOTAL,88849847,137311394953.58371
rangareddy,2021,3,TOTAL,87884143,147772047919.14047
medchal malkajgiri,2021,3,TOTAL,79514766,130838255095.6952
khordha,2021,3,TOTAL,71647985,108452202806.23244
visakhapatnam,2021,3,TOTAL,69220981,136945652159.26515
bengaluru urban,2021,4,TOTAL,584958847,755926042210.8081
pune,2021,4,TOTAL,371337618,454584743765.05554
hyderabad,2021,4,TOTAL,325636475,582079170534.0186
jaipur,2021,4,TOTAL,231804892,394435778364.0141
bhopal,2021,4,TOTAL,134176541,190196223229.17587
rangareddy,2021,4,TOTAL,111354739,188838966046.13513
central delhi,2021,4,TOTAL,111134916,177625511230.04297
medchal malkajgiri,2021,4,TOTAL,98780634,164568262330.06238
