States,District,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,east godavari,2019,2,TOTAL,4699261,9116404622.47651
andhra-pradesh,srikakulam,2019,2,TOTAL,2019203,4066576539.936839
andhra-pradesh,spsr nellore,2019,2,TOTAL,3141891,6880873007.4820595
andhra-pradesh,vizianagaram,2019,2,TOTAL,2272320,4443041665.039663
andhra-pradesh,visakhapatnam,2019,2,TOTAL,11705738,20797479804.029076
andhra-pradesh,prakasam,2019,2,TOTAL,2670529,6262396448.455349
andhra-pradesh,anantapur,2019,2,TOTAL,3578836,7830782361.377665
andhra-pradesh,ysr,2019,2,TOTAL,2606284,6376856828.130632
andhra-pradesh,west godavari,2019,2,TOTAL,2402074,5676818258.955046
andhra-pradesh,kurnool,2019,2,TOTAL,3895824,7358285187.018034
andhra-pradesh,chittoor,2019,2,TOTAL,5983308,10982727976.224325
andhra-pradesh,guntur,2019,2,TOTAL,5005275,10405246943.481495
andhra-pradesh,krishna,2019,2,TOTAL,6428472,13437029115.620754
andhra-pradesh,east godavari,2019,3,TOTAL,6537303,11387726470.57774
andhra-pradesh,srikakulam,2019,3,TOTAL,2556296,4610131289.524039
andhra-pradesh,spsr nellore,2019,3,TOTAL,4150195,8256600118.735449
andhra-pradesh,vizianagaram,2019,3,TOTAL,2861581,4922069039.19216
andhra-pradesh,visakhapatnam,2019,3,TOTAL,16694947,26944837120.046288
andhra-pradesh,prakasam,2019,3,TOTAL,3430750,7354502261.150911
andhra-pradesh,anantapur,2019,3,TOTAL,4889720,9554081289.488277
andhra-pradesh,ysr,2019,3,TOTAL,3296586,7447544274.2117815
andhra-pradesh,west godavari,2019,3,TOTAL,3179541,6627629029.01413
andhra-pradesh,kurnool,2019,3,TOTAL,5139134,9025632779.412457
andhra-pradesh,chittoor,2019,3,TOTAL,8201783,13837455758.755266
andhra-pradesh,guntur,2019,3,TOTAL,6942304,13075661264.188034
andhra-pradesh,krishna,2019,3,TOTAL,8408474,16404073560.500784
andhra-pradesh,east godavari,2019,4,TOTAL,9285739,16816774065.301317
andhra-pradesh,srikakulam,2019,4,TOTAL,3712555,6832369301.879345
andhra-pradesh,spsr nellore,2019,4,TOTAL,5877804,11786014089.194027
andhra-pradesh,vizianagaram,2019,4,TOTAL,3998234,7175851807.068796
andhra-pradesh,visakhapatnam,2019,4,TOTAL,23594874,39133296330.044624
andhra-pradesh,prakasam,2019,4,TOTAL,4865473,10604077824.801035
andhra-pradesh,anantapur,2019,4,TOTAL,6764112,13887248889.064066
andhra-pradesh,ysr,2019,4,TOTAL,4793157,10865073855.730783
andhra-pradesh,west godavari,2019,4,TOTAL,4596479,9710614747.20177
andhra-pradesh,kurnool,2019,4,TOTAL,7001958,13233105728.54823
andhra-pradesh,chittoor,2019,4,TOTAL,11246986,19298476027.875484
andhra-pradesh,guntur,2019,4,TOTAL,9761330,18565626418.035915
andhra-pradesh,krishna,2019,4,TOTAL,11719402,23039786404.04664
andhra-pradesh,east godavari,2020,1,TOTAL,11346242,21854701379.428688
andhra-pradesh,srikakulam,2020,1,TOTAL,4835092,9777575594.177538
andhra-pradesh,spsr nellore,2020,1,TOTAL,7430247,15387829694.446861
andhra-pradesh,vizianagaram,2020,1,TOTAL,5042066,9879174240.920494
andhra-pradesh,visakhapatnam,2020,1,TOTAL,27115031,48809747614.678894
andhra-pradesh,prakasam,2020,1,TOTAL,6318396,14169104764.526735
andhra-pradesh,anantapur,2020,1,TOTAL,8466129,17864325752.82528
andhra-pradesh,ysr,2020,1,TOTAL,6031255,14059924636.819912
