States,Pincodes,Transaction_Year,Quarters,registeredUsers
andhra-pradesh,west godavari,2022,1,151939
andhra-pradesh,spsr nellore,2022,1,145842
andhra-pradesh,prakasam,2022,1,143308
andhra-pradesh,visakhapatnam,2022,2,256290
andhra-pradesh,east godavari,2022,2,229983
andhra-pradesh,krishna,2022,2,200266
andhra-pradesh,guntur,2022,2,194513
andhra-pradesh,chittoor,2022,2,189505
andhra-pradesh,anantapur,2022,2,188295
andhra-pradesh,kurnool,2022,2,170855
andhra-pradesh,west godavari,2022,2,159834
andhra-pradesh,spsr nellore,2022,2,153586
andhra-pradesh,prakasam,2022,2,150546
andhra-pradesh,visakhapatnam,2022,3,269370
andhra-pradesh,east godavari,2022,3,241720
andhra-pradesh,krishna,2022,3,210661
andhra-pradesh,guntur,2022,3,204230
andhra-pradesh,chittoor,2022,3,199354
andhra-pradesh,anantapur,2022,3,197910
andhra-pradesh,kurnool,2022,3,179806
andhra-pradesh,west godavari,2022,3,168015
andhra-pradesh,spsr nellore,2022,3,161715
andhra-pradesh,prakasam,2022,3,158071
andhra-pradesh,visakhapatnam,2022,4,282766
andhra-pradesh,east godavari,2022,4,253314
andhra-pradesh,krishna,2022,4,221328
andhra-pradesh,guntur,2022,4,214155
andhra-pradesh,chittoor,2022,4,209376
andhra-pradesh,anantapur,2022,4,207725
andhra-pradesh,kurnool,2022,4,188768
andhra-pradesh,west godavari,2022,4,176415
andhra-pradesh,spsr nellore,2022,4,169957
andhra-pradesh,prakasam,2022,4,165734
arunachal-pradesh,papum pare,2018,1,2316
arunachal-pradesh,west kameng,2018,1,2203
arunachal-pradesh,east siang,2018,1,1475
arunachal-pradesh,tawang,2018,1,1471
arunachal-pradesh,changlang,2018,1,1139
arunachal-pradesh,lohit,2018,1,969
arunachal-pradesh,west siang,2018,1,857
arunachal-pradesh,namsai,2018,1,829
arunachal-pradesh,lower dibang valley,2018,1,828
arunachal-pradesh,upper subansiri,2018,1,766
arunachal-pradesh,papum pare,2018,2,3488
arunachal-pradesh,west kameng,2018,2,3272
arunachal-pradesh,east siang,2018,2,2219
arunachal-pradesh,tawang,2018,2,2212
arunachal-pradesh,changlang,2018,2,1698
arunachal-pradesh,lohit,2018,2,1457
arunachal-pradesh,namsai,2018,2,1421
arunachal-pradesh,west siang,2018,2,1315
arunachal-pradesh,lower dibang valley,2018,2,1231
arunachal-pradesh,upper subansiri,2018,2,1213
arunachal-pradesh,papum pare,2018,3,4872
arunachal-pradesh,west kameng,2018,3,4610
arunachal-pradesh,east siang,2018,3,3178
arunachal-pradesh,tawang,2018,3,3077
arunachal-pradesh,changlang,2018,3,2328
arunachal-pradesh,lohit,2018,3,2067
arunachal-pradesh,namsai,2018,3,1907
arunachal-pradesh,west siang,2018,3,1819
arunachal-pradesh,lower dibang valley,2018,3,1623
arunachal-pradesh,tirap,2018,3,1612
arunachal-pradesh,papum pare,2018,4,6599
arunachal-pradesh,west kameng,2018,4,6225
arunachal-pradesh,east siang,2018,4,4115
arunachal-pradesh,tawang,2018,4,4109
arunachal-pradesh,changlang,2018,4,3034
arunachal-pradesh,lohit,2018,4,2741
arunachal-pradesh,namsai,2018,4,2577
arunachal-pradesh,west siang,2018,4,2444
arunachal-pradesh,lower dibang valley,2018,4,2206
arunachal-pradesh,tirap,2018,4,2071
arunachal-pradesh,papum pare,2019,1,8094
arunachal-pradesh,west kameng,2019,1,7673
arunachal-pradesh,east siang,2019,1,5140
arunachal-pradesh,changlang,2019,1,5030
arunachal-pradesh,tawang,2019,1,3751
arunachal-pradesh,lohit,2019,1,3477
arunachal-pradesh,namsai,2019,1,3160
arunachal-pradesh,west siang,2019,1,3103
arunachal-pradesh,lower dibang valley,2019,1,2798
arunachal-pradesh,tirap,2019,1,2519
arunachal-pradesh,papum pare,2019,2,10055
arunachal-pradesh,west kameng,2019,2,9597
arunachal-pradesh,east siang,2019,2,6418
arunachal-pradesh,changlang,2019,2,6283
arunachal-pradesh,tawang,2019,2,4437
arunachal-pradesh,lohit,2019,2,4369
arunachal-pradesh,namsai,2019,2,3960
arunachal-pradesh,west siang,2019,2,3918
arunachal-pradesh,lower dibang valley,2019,2,3335
arunachal-pradesh,tirap,2019,2,3151
arunachal-pradesh,papum pare,2019,3,11834
arunachal-pradesh,west kameng,2019,3,11464
arunachal-pradesh,east siang,2019,3,7593
arunachal-pradesh,changlang,2019,3,7308
arunachal-pradesh,tawang,2019,3,5172
arunachal-pradesh,lohit,2019,3,4964
arunachal-pradesh,namsai,2019,3,4733
arunachal-pradesh,west siang,2019,3,4605
arunachal-pradesh,lower dibang valley,2019,3,3715
arunachal-pradesh,tirap,2019,3,3709
arunachal-pradesh,papum pare,2019,4,13737
arunachal-pradesh,west kameng,2019,4,13109
arunachal-pradesh,east siang,2019,4,8753
arunachal-pradesh,changlang,2019,4,8369
arunachal-pradesh,lohit,2019,4,5974
arunachal-pradesh,tawang,2019,4,5523
arunachal-pradesh,namsai,2019,4,5499
arunachal-pradesh,west siang,2019,4,5268
arunachal-pradesh,lower dibang valley,2019,4,4216
arunachal-pradesh,tirap,2019,4,4071
arunachal-pradesh,papum pare,2020,1,15867
arunachal-pradesh,west kameng,2020,1,14888
arunachal-pradesh,east siang,2020,1,10049
arunachal-pradesh,changlang,2020,1,9584
arunachal-pradesh,lohit,2020,1,6949
arunachal-pradesh,tawang,2020,1,6631
arunachal-pradesh,namsai,2020,1,6108
arunachal-pradesh,west siang,2020,1,6044
arunachal-pradesh,lower dibang valley,2020,1,4808
arunachal-pradesh,lower subansiri,2020,1,4690
arunachal-pradesh,papum pare,2020,2,18699
arunachal-pradesh,west kameng,2020,2,17137
arunachal-pradesh,changlang,2020,2,11777
arunachal-pradesh,east siang,2020,2,11547
arunachal-pradesh,lohit,2020,2,8648
arunachal-pradesh,tawang,2020,2,8304
arunachal-pradesh,namsai,2020,2,7106
arunachal-pradesh,west siang,2020,2,6860
arunachal-pradesh,lower dibang valley,2020,2,5825
arunachal-pradesh,lower subansiri,2020,2,5521
arunachal-pradesh,papum pare,2020,3,21772
arunachal-pradesh,west kameng,2020,3,19597
arunachal-pradesh,changlang,2020,3,13723
arunachal-pradesh,east siang,2020,3,13422
arunachal-pradesh,lohit,2020,3,9996
