States,District,registeredUsers,appOpens,Transaction_Year,Quarters
andhra-pradesh,ysr,1103004,72255265,2021,2
andhra-pradesh,west godavari,1339377,65118788,2021,2
andhra-pradesh,chittoor,1870723,110505432,2021,2
andhra-pradesh,east godavari,2150622,103626560,2021,3
andhra-pradesh,srikakulam,902008,48622126,2021,3
andhra-pradesh,visakhapatnam,2707931,139540800,2021,3
andhra-pradesh,prakasam,1239147,91533813,2021,3
andhra-pradesh,anantapur,1606735,124985545,2021,3
andhra-pradesh,kurnool,1522196,101210508,2021,3
andhra-pradesh,guntur,2110878,106621413,2021,3
andhra-pradesh,krishna,2145423,104358295,2021,3
andhra-pradesh,spsr nellore,1263550,90102349,2021,3
andhra-pradesh,vizianagaram,784444,46277311,2021,3
andhra-pradesh,ysr,1183377,86369956,2021,3
andhra-pradesh,west godavari,1436576,80244808,2021,3
andhra-pradesh,chittoor,2007011,135043395,2021,3
andhra-pradesh,east godavari,2294347,142536856,2021,4
andhra-pradesh,srikakulam,965335,61654215,2021,4
andhra-pradesh,visakhapatnam,2888774,188757640,2021,4
andhra-pradesh,prakasam,1325728,86410317,2021,4
andhra-pradesh,anantapur,1719437,120768682,2021,4
andhra-pradesh,kurnool,1628242,97379271,2021,4
andhra-pradesh,guntur,2252443,130920743,2021,4
andhra-pradesh,krishna,2288148,134436469,2021,4
andhra-pradesh,spsr nellore,1349290,90814672,2021,4
andhra-pradesh,vizianagaram,839606,56101822,2021,4
andhra-pradesh,ysr,1262963,83534122,2021,4
andhra-pradesh,west godavari,1532898,100007280,2021,4
andhra-pradesh,chittoor,2141818,154395512,2021,4
andhra-pradesh,east godavari,2432305,87134562,2022,1
andhra-pradesh,srikakulam,1027283,46691467,2022,1
andhra-pradesh,visakhapatnam,3061324,88803090,2022,1
andhra-pradesh,prakasam,1408929,104851997,2022,1
andhra-pradesh,anantapur,1827094,155792533,2022,1
andhra-pradesh,kurnool,1729513,119653214,2022,1
andhra-pradesh,guntur,2387051,88844052,2022,1
andhra-pradesh,krishna,2423373,85871644,2022,1
andhra-pradesh,spsr nellore,1431664,101671767,2022,1
andhra-pradesh,vizianagaram,892889,44804002,2022,1
andhra-pradesh,ysr,1339782,98878499,2022,1
andhra-pradesh,west godavari,1626039,87642475,2022,1
andhra-pradesh,chittoor,2270705,144146671,2022,1
andhra-pradesh,east godavari,2564165,93383888,2022,2
andhra-pradesh,srikakulam,1086164,51087942,2022,2
andhra-pradesh,visakhapatnam,3226029,93552701,2022,2
andhra-pradesh,prakasam,1487589,108172758,2022,2
andhra-pradesh,anantapur,1928213,181499094,2022,2
andhra-pradesh,kurnool,1825280,136447455,2022,2
andhra-pradesh,guntur,2514794,91997209,2022,2
andhra-pradesh,krishna,2552107,95341487,2022,2
andhra-pradesh,spsr nellore,1509927,108755384,2022,2
andhra-pradesh,vizianagaram,943242,50230853,2022,2
andhra-pradesh,ysr,1412848,106157470,2022,2
andhra-pradesh,west godavari,1714357,103338893,2022,2
andhra-pradesh,chittoor,2392549,158771722,2022,2
andhra-pradesh,east godavari,2702234,85780890,2022,3
andhra-pradesh,srikakulam,1147016,46323107,2022,3
andhra-pradesh,visakhapatnam,3397514,87888969,2022,3
andhra-pradesh,prakasam,1567520,114185009,2022,3
andhra-pradesh,anantapur,2030824,181038520,2022,3
andhra-pradesh,kurnool,1924127,143715547,2022,3
andhra-pradesh,guntur,2647100,91146114,2022,3
andhra-pradesh,krishna,2685215,86220959,2022,3
andhra-pradesh,spsr nellore,1588875,105928407,2022,3
andhra-pradesh,vizianagaram,995141,46767889,2022,3
andhra-pradesh,ysr,1487140,107976611,2022,3
andhra-pradesh,west godavari,1805967,97509407,2022,3
andhra-pradesh,chittoor,2517657,162524274,2022,3
andhra-pradesh,east godavari,2835087,173720880,2022,4
andhra-pradesh,srikakulam,1204785,72666058,2022,4
andhra-pradesh,visakhapatnam,3566854,208604256,2022,4
andhra-pradesh,prakasam,1642503,94432083,2022,4
andhra-pradesh,anantapur,2128066,136685634,2022,4
andhra-pradesh,kurnool,2018290,105333688,2022,4
andhra-pradesh,guntur,2774365,144773169,2022,4
andhra-pradesh,krishna,2813645,156902257,2022,4
andhra-pradesh,spsr nellore,1663684,103101986,2022,4
andhra-pradesh,vizianagaram,1044490,64406405,2022,4
andhra-pradesh,ysr,1556901,93975668,2022,4
andhra-pradesh,west godavari,1893310,129116752,2022,4
andhra-pradesh,chittoor,2636036,189655966,2022,4
arunachal-pradesh,lower subansiri,498,0,2018,1
arunachal-pradesh,tirap,557,0,2018,1
arunachal-pradesh,papum pare,7649,0,2018,1
arunachal-pradesh,anjaw,278,0,2018,1
arunachal-pradesh,lower siang,270,0,2018,1
arunachal-pradesh,dibang valley,66,0,2018,1
arunachal-pradesh,west kameng,2202,0,2018,1
arunachal-pradesh,shi yomi,49,0,2018,1
arunachal-pradesh,east kameng,222,0,2018,1
arunachal-pradesh,lohit,1207,0,2018,1
arunachal-pradesh,lepa rada,210,0,2018,1
arunachal-pradesh,lower dibang valley,601,0,2018,1
arunachal-pradesh,longding,256,0,2018,1
arunachal-pradesh,west siang,846,0,2018,1
