States,District,Transaction_Year,Quarters,registeredUsers
andhra-pradesh,krishna,2022,1,2423373
andhra-pradesh,guntur,2022,1,2387051
andhra-pradesh,chittoor,2022,1,2270705
andhra-pradesh,anantapur,2022,1,1827094
andhra-pradesh,kurnool,2022,1,1729513
andhra-pradesh,west godavari,2022,1,1626039
andhra-pradesh,spsr nellore,2022,1,1431664
andhra-pradesh,prakasam,2022,1,1408929
andhra-pradesh,visakhapatnam,2022,2,3226029
andhra-pradesh,east godavari,2022,2,2564165
andhra-pradesh,krishna,2022,2,2552107
andhra-pradesh,guntur,2022,2,2514794
andhra-pradesh,chittoor,2022,2,2392549
andhra-pradesh,anantapur,2022,2,1928213
andhra-pradesh,kurnool,2022,2,1825280
andhra-pradesh,west godavari,2022,2,1714357
andhra-pradesh,spsr nellore,2022,2,1509927
andhra-pradesh,prakasam,2022,2,1487589
andhra-pradesh,visakhapatnam,2022,3,3397514
andhra-pradesh,east godavari,2022,3,2702234
andhra-pradesh,krishna,2022,3,2685215
andhra-pradesh,guntur,2022,3,2647100
andhra-pradesh,chittoor,2022,3,2517657
andhra-pradesh,anantapur,2022,3,2030824
andhra-pradesh,kurnool,2022,3,1924127
andhra-pradesh,west godavari,2022,3,1805967
andhra-pradesh,spsr nellore,2022,3,1588875
andhra-pradesh,prakasam,2022,3,1567520
andhra-pradesh,visakhapatnam,2022,4,3566854
andhra-pradesh,east godavari,2022,4,2835087
andhra-pradesh,krishna,2022,4,2813645
andhra-pradesh,guntur,2022,4,2774365
andhra-pradesh,chittoor,2022,4,2636036
andhra-pradesh,anantapur,2022,4,2128066
andhra-pradesh,kurnool,2022,4,2018290
andhra-pradesh,west godavari,2022,4,1893310
andhra-pradesh,spsr nellore,2022,4,1663684
andhra-pradesh,prakasam,2022,4,1642503
arunachal-pradesh,papum pare,2018,1,7649
arunachal-pradesh,west kameng,2018,1,2202
arunachal-pradesh,east siang,2018,1,1803
arunachal-pradesh,tawang,2018,1,1525
arunachal-pradesh,changlang,2018,1,1208
arunachal-pradesh,lohit,2018,1,1207
arunachal-pradesh,west siang,2018,1,846
arunachal-pradesh,namsai,2018,1,737
arunachal-pradesh,lower dibang valley,2018,1,601
arunachal-pradesh,upper subansiri,2018,1,572
arunachal-pradesh,papum pare,2018,2,11418
arunachal-pradesh,west kameng,2018,2,3442
arunachal-pradesh,east siang,2018,2,2646
arunachal-pradesh,tawang,2018,2,2266
arunachal-pradesh,changlang,2018,2,2014
arunachal-pradesh,lohit,2018,2,1898
arunachal-pradesh,namsai,2018,2,1276
arunachal-pradesh,west siang,2018,2,1224
arunachal-pradesh,lower dibang valley,2018,2,893
arunachal-pradesh,upper subansiri,2018,2,883
arunachal-pradesh,papum pare,2018,3,16009
arunachal-pradesh,west kameng,2018,3,4765
arunachal-pradesh,east siang,2018,3,3590
arunachal-pradesh,tawang,2018,3,3112
arunachal-pradesh,changlang,2018,3,2889
arunachal-pradesh,lohit,2018,3,2612
arunachal-pradesh,namsai,2018,3,1862
arunachal-pradesh,west siang,2018,3,1652
arunachal-pradesh,lower dibang valley,2018,3,1286
arunachal-pradesh,tirap,2018,3,1226
arunachal-pradesh,papum pare,2018,4,21342
arunachal-pradesh,west kameng,2018,4,6492
arunachal-pradesh,east siang,2018,4,4813
arunachal-pradesh,tawang,2018,4,4085
arunachal-pradesh,changlang,2018,4,4036
