Name,States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
Others,andhra-pradesh,2021,3,TOTAL,547759,403948275.56756073
Peer-to-peer payments,andhra-pradesh,2021,4,TOTAL,262006450,971269765249.1282
Merchant payments,andhra-pradesh,2021,4,TOTAL,207538904,152883933596.5386
Recharge & bill payments,andhra-pradesh,2021,4,TOTAL,51762842,31232784713.985794
Financial Services,andhra-pradesh,2021,4,TOTAL,243951,332740108.6635881
Others,andhra-pradesh,2021,4,TOTAL,701856,545223415.6638832
Peer-to-peer payments,andhra-pradesh,2022,1,TOTAL,288488560,1089629182596.4781
Merchant payments,andhra-pradesh,2022,1,TOTAL,242031836,169419685917.19562
Recharge & bill payments,andhra-pradesh,2022,1,TOTAL,51224170,34473036841.83001
Financial Services,andhra-pradesh,2022,1,TOTAL,231651,324358965.11859065
Others,andhra-pradesh,2022,1,TOTAL,627694,474382234.25397474
Peer-to-peer payments,andhra-pradesh,2022,2,TOTAL,321362337,1231408926513.7114
Merchant payments,andhra-pradesh,2022,2,TOTAL,292530048,205433660654.20898
Recharge & bill payments,andhra-pradesh,2022,2,TOTAL,56606969,42408541939.06145
Financial Services,andhra-pradesh,2022,2,TOTAL,192751,245783011.04455262
Others,andhra-pradesh,2022,2,TOTAL,441925,357036084.9071137
Peer-to-peer payments,andhra-pradesh,2022,3,TOTAL,298804000,1140164525892.7397
Merchant payments,andhra-pradesh,2022,3,TOTAL,291033653,202910820650.0824
Recharge & bill payments,andhra-pradesh,2022,3,TOTAL,52467708,41438764826.20322
Financial Services,andhra-pradesh,2022,3,TOTAL,187190,239347241.54655045
Others,andhra-pradesh,2022,3,TOTAL,362484,323951101.5715289
Merchant payments,andhra-pradesh,2022,4,TOTAL,321632104,211898851397.09848
Peer-to-peer payments,andhra-pradesh,2022,4,TOTAL,315734006,1170249585983.0112
Recharge & bill payments,andhra-pradesh,2022,4,TOTAL,52098850,41986837706.47902
Financial Services,andhra-pradesh,2022,4,TOTAL,206459,250596592.06465048
Others,andhra-pradesh,2022,4,TOTAL,345658,339211363.0027188
Recharge & bill payments,arunachal-pradesh,2018,1,TOTAL,28729,5184132.514934338
Peer-to-peer payments,arunachal-pradesh,2018,1,TOTAL,13320,82889682.72418305
Merchant payments,arunachal-pradesh,2018,1,TOTAL,1042,2420374.1905855755
Financial Services,arunachal-pradesh,2018,1,TOTAL,416,58893.76201533088
Others,arunachal-pradesh,2018,1,TOTAL,1990,1834252.8176908877
Recharge & bill payments,arunachal-pradesh,2018,2,TOTAL,50700,10468878.537107183
Peer-to-peer payments,arunachal-pradesh,2018,2,TOTAL,26477,181576281.19464755
Merchant payments,arunachal-pradesh,2018,2,TOTAL,2378,4718953.439561011
Financial Services,arunachal-pradesh,2018,2,TOTAL,559,363761.80159549194
Others,arunachal-pradesh,2018,2,TOTAL,2043,1842317.3691352482
Recharge & bill payments,arunachal-pradesh,2018,3,TOTAL,74122,15997565.906016497
Peer-to-peer payments,arunachal-pradesh,2018,3,TOTAL,49740,308106303.45342577
Merchant payments,arunachal-pradesh,2018,3,TOTAL,4738,5505694.567913429
Financial Services,arunachal-pradesh,2018,3,TOTAL,507,72133.845254878
Others,arunachal-pradesh,2018,3,TOTAL,2039,2044708.9687807972
Recharge & bill payments,arunachal-pradesh,2018,4,TOTAL,97751,20662691.882313278
Peer-to-peer payments,arunachal-pradesh,2018,4,TOTAL,68169,468831493.2328036
Merchant payments,arunachal-pradesh,2018,4,TOTAL,7726,11998974.1040326
Financial Services,arunachal-pradesh,2018,4,TOTAL,561,100597.90379906222
Others,arunachal-pradesh,2018,4,TOTAL,2222,2446271.9688117937
Recharge & bill payments,arunachal-pradesh,2019,1,TOTAL,121303,26796894.998233315
Peer-to-peer payments,arunachal-pradesh,2019,1,TOTAL,93494,568554821.4456317
Merchant payments,arunachal-pradesh,2019,1,TOTAL,9214,11727218.401334248
Financial Services,arunachal-pradesh,2019,1,TOTAL,256,140622.87093631705
Others,arunachal-pradesh,2019,1,TOTAL,2239,2730548.5978140826
Recharge & bill payments,arunachal-pradesh,2019,2,TOTAL,131988,30420803.41271234
Peer-to-peer payments,arunachal-pradesh,2019,2,TOTAL,106527,704237943.4054435
Merchant payments,arunachal-pradesh,2019,2,TOTAL,16828,13955724.130712911
Financial Services,arunachal-pradesh,2019,2,TOTAL,267,160660.8821362781
Others,arunachal-pradesh,2019,2,TOTAL,3046,3880742.524023137
Recharge & bill payments,arunachal-pradesh,2019,3,TOTAL,216228,50946104.94289842
Peer-to-peer payments,arunachal-pradesh,2019,3,TOTAL,133484,841037395.2474606
Merchant payments,arunachal-pradesh,2019,3,TOTAL,16900,17178248.07427002
