States,Pincodes,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
andhra-pradesh,kurnool,2019,1,TOTAL,609682,1009938283.8464416
andhra-pradesh,anantapur,2019,1,TOTAL,545426,389782596.9665674
andhra-pradesh,spsr nellore,2019,1,TOTAL,527667,590799502.8850918
andhra-pradesh,prakasam,2019,1,TOTAL,472914,531596255.9349663
andhra-pradesh,ysr,2019,1,TOTAL,460133,774931063.0289192
andhra-pradesh,visakhapatnam,2019,2,TOTAL,2602865,5218795715.70141
andhra-pradesh,krishna,2019,2,TOTAL,1828617,3823390190.0922346
andhra-pradesh,chittoor,2019,2,TOTAL,949187,1669949938.5076957
andhra-pradesh,guntur,2019,2,TOTAL,839909,1759418775.980979
andhra-pradesh,east godavari,2019,2,TOTAL,793798,1257915825.5688605
andhra-pradesh,kurnool,2019,2,TOTAL,760335,1412863012.2407691
andhra-pradesh,anantapur,2019,2,TOTAL,567306,1282118916.2094193
andhra-pradesh,spsr nellore,2019,2,TOTAL,520142,718170914.395836
andhra-pradesh,prakasam,2019,2,TOTAL,490697,973983824.5472903
andhra-pradesh,ysr,2019,2,TOTAL,480905,650710126.3382195
andhra-pradesh,visakhapatnam,2019,3,TOTAL,2944756,6693257653.901131
andhra-pradesh,krishna,2019,3,TOTAL,1905190,4414503365.699517
andhra-pradesh,chittoor,2019,3,TOTAL,1434209,2203932856.2972074
andhra-pradesh,guntur,2019,3,TOTAL,1196020,1658162548.562835
andhra-pradesh,east godavari,2019,3,TOTAL,1060513,1854927351.7366562
andhra-pradesh,kurnool,2019,3,TOTAL,1003916,2216532548.7258
andhra-pradesh,anantapur,2019,3,TOTAL,868052,1667826831.8650486
andhra-pradesh,spsr nellore,2019,3,TOTAL,858005,970993081.1712441
andhra-pradesh,prakasam,2019,3,TOTAL,799271,911939243.0618924
andhra-pradesh,ysr,2019,3,TOTAL,711726,1095056835.9858122
andhra-pradesh,visakhapatnam,2019,4,TOTAL,4185063,9160387223.4497
andhra-pradesh,krishna,2019,4,TOTAL,2544877,5933007156.535349
andhra-pradesh,chittoor,2019,4,TOTAL,1920211,3073084029.9256625
andhra-pradesh,guntur,2019,4,TOTAL,1591033,2295184224.145106
andhra-pradesh,east godavari,2019,4,TOTAL,1438154,2509394595.5414515
andhra-pradesh,kurnool,2019,4,TOTAL,1406768,2478459132.7705936
andhra-pradesh,anantapur,2019,4,TOTAL,1324202,2927313967.683236
andhra-pradesh,spsr nellore,2019,4,TOTAL,1202983,2376869516.684207
andhra-pradesh,prakasam,2019,4,TOTAL,1131832,1339103327.887921
andhra-pradesh,ysr,2019,4,TOTAL,1084796,1266927471.3317952
andhra-pradesh,visakhapatnam,2020,1,TOTAL,6695271,15258657486.862274
andhra-pradesh,chittoor,2020,1,TOTAL,2196548,3731404465.729061
andhra-pradesh,krishna,2020,1,TOTAL,1661816,2593325339.0472875
andhra-pradesh,guntur,2020,1,TOTAL,1554974,2719620696.0325623
andhra-pradesh,east godavari,2020,1,TOTAL,1346804,2696427930.6755033
andhra-pradesh,anantapur,2020,1,TOTAL,1159480,1519955258.5314608
andhra-pradesh,kurnool,2020,1,TOTAL,1125194,2653339803.95633
andhra-pradesh,spsr nellore,2020,1,TOTAL,1104748,1412381495.9440272
andhra-pradesh,prakasam,2020,1,TOTAL,1098395,2059547223.1742206
andhra-pradesh,ysr,2020,1,TOTAL,1058410,2575723775.0488396
andhra-pradesh,visakhapatnam,2020,2,TOTAL,4994637,12817902607.017586
andhra-pradesh,chittoor,2020,2,TOTAL,1708935,3203679955.4885287
andhra-pradesh,east godavari,2020,2,TOTAL,1575118,2854711069.441047
andhra-pradesh,krishna,2020,2,TOTAL,1553283,3993963025.6852684
andhra-pradesh,guntur,2020,2,TOTAL,1067022,1893629834.0393307
andhra-pradesh,anantapur,2020,2,TOTAL,1066066,2616099329.3322473
andhra-pradesh,kurnool,2020,2,TOTAL,1026587,2447755903.073549
andhra-pradesh,spsr nellore,2020,2,TOTAL,979822,2015820866.3250332
andhra-pradesh,prakasam,2020,2,TOTAL,963666,2678051229.473872
andhra-pradesh,ysr,2020,2,TOTAL,956641,2767045048.1995325
andhra-pradesh,visakhapatnam,2020,3,TOTAL,5194663,13718743729.17845
andhra-pradesh,chittoor,2020,3,TOTAL,4159532,10383207817.795242
andhra-pradesh,krishna,2020,3,TOTAL,2735691,5544720473.076229
andhra-pradesh,east godavari,2020,3,TOTAL,2534360,6637577271.358326
andhra-pradesh,guntur,2020,3,TOTAL,2306174,4594510974.325968
andhra-pradesh,spsr nellore,2020,3,TOTAL,2238996,6543183825.055463
andhra-pradesh,anantapur,2020,3,TOTAL,1921871,3560898943.243418
andhra-pradesh,kurnool,2020,3,TOTAL,1669413,4116758527.095812
andhra-pradesh,prakasam,2020,3,TOTAL,1625687,4701116488.838855
andhra-pradesh,ysr,2020,3,TOTAL,1514873,3352462441.2241564
andhra-pradesh,visakhapatnam,2020,4,TOTAL,5029692,12810644736.250324
andhra-pradesh,chittoor,2020,4,TOTAL,4235146,9849636860.464972
andhra-pradesh,krishna,2020,4,TOTAL,4125544,7866883789.381668
andhra-pradesh,guntur,2020,4,TOTAL,3420778,6749696775.855953
andhra-pradesh,east godavari,2020,4,TOTAL,3119905,8005247952.077286
andhra-pradesh,anantapur,2020,4,TOTAL,2981818,5591062751.070802
andhra-pradesh,spsr nellore,2020,4,TOTAL,2821800,6442101736.915546
andhra-pradesh,kurnool,2020,4,TOTAL,2219953,4809927717.539759
andhra-pradesh,prakasam,2020,4,TOTAL,2170458,4679865894.241622
andhra-pradesh,ysr,2020,4,TOTAL,2027751,3252434512.586547
andhra-pradesh,visakhapatnam,2021,1,TOTAL,7269657,16698428355.239132
andhra-pradesh,krishna,2021,1,TOTAL,5875319,13567044097.312927
andhra-pradesh,chittoor,2021,1,TOTAL,4354325,8224302893.470669
andhra-pradesh,guntur,2021,1,TOTAL,3591058,9183853695.408499
andhra-pradesh,east godavari,2021,1,TOTAL,3378549,6593121540.981036
andhra-pradesh,spsr nellore,2021,1,TOTAL,3144495,5679150412.005564
andhra-pradesh,anantapur,2021,1,TOTAL,2941623,7434205012.068323
andhra-pradesh,kurnool,2021,1,TOTAL,2815993,6225481722.602297
andhra-pradesh,west godavari,2021,1,TOTAL,2584588,6753205746.899624
andhra-pradesh,ysr,2021,1,TOTAL,2291676,4716738889.930448
andhra-pradesh,visakhapatnam,2021,2,TOTAL,11023032,25519404146.52658
andhra-pradesh,krishna,2021,2,TOTAL,7850540,19042845773.20165
andhra-pradesh,chittoor,2021,2,TOTAL,5441708,14948864290.86964
andhra-pradesh,guntur,2021,2,TOTAL,4614209,9215678010.439575
andhra-pradesh,east godavari,2021,2,TOTAL,3834825,7940105016.380435
andhra-pradesh,spsr nellore,2021,2,TOTAL,3427039,9832657321.439524
andhra-pradesh,anantapur,2021,2,TOTAL,3052771,7213837063.020088
andhra-pradesh,kurnool,2021,2,TOTAL,2892664,5705916880.595729
andhra-pradesh,west godavari,2021,2,TOTAL,2613562,7256266063.657529
andhra-pradesh,prakasam,2021,2,TOTAL,2553688,5906664130.524334
andhra-pradesh,visakhapatnam,2021,3,TOTAL,10701326,23300508690.71216
andhra-pradesh,krishna,2021,3,TOTAL,9780096,22841763578.29273
andhra-pradesh,chittoor,2021,3,TOTAL,5982442,11419848822.233982
andhra-pradesh,guntur,2021,3,TOTAL,5320101,14633600592.216694
andhra-pradesh,east godavari,2021,3,TOTAL,4866065,9768221617.56348
andhra-pradesh,spsr nellore,2021,3,TOTAL,4242875,11355623168.660927
andhra-pradesh,anantapur,2021,3,TOTAL,4177023,7797927714.306906
andhra-pradesh,kurnool,2021,3,TOTAL,4040160,8752025049.046715
andhra-pradesh,west godavari,2021,3,TOTAL,3370675,8720115499.341372
andhra-pradesh,prakasam,2021,3,TOTAL,3206301,6832329071.6628275
andhra-pradesh,visakhapatnam,2021,4,TOTAL,14158439,30358274591.367683
andhra-pradesh,krishna,2021,4,TOTAL,10216678,24428085477.49295
andhra-pradesh,chittoor,2021,4,TOTAL,7246667,13514835187.056923
andhra-pradesh,guntur,2021,4,TOTAL,5790910,11415016234.059563
andhra-pradesh,east godavari,2021,4,TOTAL,5716025,15397268124.171196
andhra-pradesh,spsr nellore,2021,4,TOTAL,5252680,9484946022.822403
andhra-pradesh,anantapur,2021,4,TOTAL,4989759,13298088500.28115
andhra-pradesh,west godavari,2021,4,TOTAL,4892740,10235401678.208153
andhra-pradesh,kurnool,2021,4,TOTAL,4198904,8551737728.052567
andhra-pradesh,prakasam,2021,4,TOTAL,4058071,10324818012.146276
andhra-pradesh,visakhapatnam,2022,1,TOTAL,16133298,35123754551.39544
andhra-pradesh,krishna,2022,1,TOTAL,10293117,25355928765.674084
andhra-pradesh,chittoor,2022,1,TOTAL,8062447,14807178133.005922
andhra-pradesh,guntur,2022,1,TOTAL,6660899,12913687866.526722
andhra-pradesh,east godavari,2022,1,TOTAL,6254668,16297042494.467913
andhra-pradesh,spsr nellore,2022,1,TOTAL,5691035,15226428277.57111
andhra-pradesh,anantapur,2022,1,TOTAL,5585462,11393585212.479506
