States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount
mizoram,2019,1,TOTAL,70306,218160895.39740258
chhattisgarh,2019,1,TOTAL,7887669,12544556385.328796
jammu & kashmir,2019,1,TOTAL,3584987,5951835476.521047
goa,2019,1,TOTAL,738812,1475323397.276577
arunachal pradesh,2019,1,TOTAL,226506,609950106.3139492
delhi,2019,1,TOTAL,47007327,58469131789.49733
uttarakhand,2019,1,TOTAL,5546001,7183529175.274033
puducherry,2019,2,TOTAL,580077,1211446910.127807
tamil nadu,2019,2,TOTAL,32171737,64207676025.75553
uttar pradesh,2019,2,TOTAL,58883500,98917519370.67831
madhya pradesh,2019,2,TOTAL,40846013,68334566380.56182
andhra pradesh,2019,2,TOTAL,56409015,113634518758.22931
tripura,2019,2,TOTAL,532558,841821482.8473747
lakshadweep,2019,2,TOTAL,2926,9242524.13698889
manipur,2019,2,TOTAL,257425,722789942.1495004
maharashtra,2019,2,TOTAL,101149853,153294470088.05945
dadra & nagar haveli & daman & diu,2019,2,TOTAL,489656,824441276.56507
meghalaya,2019,2,TOTAL,232286,492931289.1072781
andaman & nicobar islands,2019,2,TOTAL,33689,120254709.6756632
haryana,2019,2,TOTAL,22741816,42501539813.21669
rajasthan,2019,2,TOTAL,50009286,89107313172.66756
ladakh,2019,2,TOTAL,68772,259255506.9974248
punjab,2019,2,TOTAL,8509830,18614793394.772213
assam,2019,2,TOTAL,5454929,10954969189.126175
jharkhand,2019,2,TOTAL,10128211,18622701305.54623
odisha,2019,2,TOTAL,29512024,44754854871.67608
bihar,2019,2,TOTAL,29960479,63132438283.54397
kerala,2019,2,TOTAL,7283826,13031371561.185568
karnataka,2019,2,TOTAL,115401604,163702024226.0841
chandigarh,2019,2,TOTAL,1252470,2693116098.9444556
telangana,2019,2,TOTAL,89610379,155676443182.43457
himachal pradesh,2019,2,TOTAL,2502306,4875883973.61058
west bengal,2019,2,TOTAL,47023535,57105691119.11844
gujarat,2019,2,TOTAL,28981842,49320615219.26732
sikkim,2019,2,TOTAL,388244,738894243.4359412
nagaland,2019,2,TOTAL,188753,520066682.1585048
mizoram,2019,2,TOTAL,75671,248016708.13501447
chhattisgarh,2019,2,TOTAL,9389945,17002355688.82225
jammu & kashmir,2019,2,TOTAL,2296355,6100142201.563448
goa,2019,2,TOTAL,768441,1591867103.3876143
arunachal pradesh,2019,2,TOTAL,258656,752655874.3550282
delhi,2019,2,TOTAL,57171512,81706816063.62862
uttarakhand,2019,2,TOTAL,4813275,8588532850.9184885
puducherry,2019,3,TOTAL,716826,1460708357.4554102
tamil nadu,2019,3,TOTAL,41410183,78959604643.63503
uttar pradesh,2019,3,TOTAL,68623959,111268137475.02843
madhya pradesh,2019,3,TOTAL,53610411,77676321491.22867
andhra pradesh,2019,3,TOTAL,76288614,139447944254.78943
tripura,2019,3,TOTAL,711717,1017377422.817224
lakshadweep,2019,3,TOTAL,3104,9651761.463768471
